GEO.id,GEO.id2,County,Year,Population
0500000US06073,6073,"San Diego County, California",2015,3284061
0500000US06075,6075,"San Francisco County, California",2015,863836
0500000US06077,6077,"San Joaquin County, California",2015,721929
0500000US06079,6079,"San Luis Obispo County, California",2015,280171
0500000US06081,6081,"San Mateo County, California",2015,765447
0500000US06083,6083,"Santa Barbara County, California",2015,442522
0500000US06085,6085,"Santa Clara County, California",2015,1917481
0500000US06087,6087,"Santa Cruz County, California",2015,273730
0500000US06089,6089,"Shasta County, California",2015,178361
0500000US06091,6091,"Sierra County, California",2015,2996
0500000US06093,6093,"Siskiyou County, California",2015,43336
0500000US06095,6095,"Solano County, California",2015,433708
0500000US06097,6097,"Sonoma County, California",2015,501346
0500000US06099,6099,"Stanislaus County, California",2015,533534
0500000US06101,6101,"Sutter County, California",2015,95388
0500000US06103,6103,"Tehama County, California",2015,63090
0500000US06105,6105,"Trinity County, California",2015,13094
0500000US06107,6107,"Tulare County, California",2015,457803
0500000US06109,6109,"Tuolumne County, California",2015,53550
0500000US06111,6111,"Ventura County, California",2015,846922
0500000US06113,6113,"Yolo County, California",2015,212053
0500000US06115,6115,"Yuba County, California",2015,74083
0500000US06001,6001,"Alameda County, California",2016,1650306
0500000US06003,6003,"Alpine County, California",2016,1057
0500000US06005,6005,"Amador County, California",2016,37438
0500000US06007,6007,"Butte County, California",2016,226529
0500000US06009,6009,"Calaveras County, California",2016,45303
0500000US06011,6011,"Colusa County, California",2016,21553
0500000US06013,6013,"Contra Costa County, California",2016,1137194
0500000US06015,6015,"Del Norte County, California",2016,27422
0500000US06017,6017,"El Dorado County, California",2016,186082
0500000US06019,6019,"Fresno County, California",2016,977956
0500000US06021,6021,"Glenn County, California",2016,27851
0500000US06023,6023,"Humboldt County, California",2016,136314
0500000US06025,6025,"Imperial County, California",2016,180268
0500000US06027,6027,"Inyo County, California",2016,17996
0500000US06029,6029,"Kern County, California",2016,882361
0500000US06031,6031,"Kings County, California",2016,149509
0500000US06033,6033,"Lake County, California",2016,63884
0500000US06035,6035,"Lassen County, California",2016,30906
0500000US06037,6037,"Los Angeles County, California",2016,10120540
0500000US06039,6039,"Madera County, California",2016,154160
0500000US06041,6041,"Marin County, California",2016,260633
0500000US06043,6043,"Mariposa County, California",2016,17455
0500000US06045,6045,"Mendocino County, California",2016,87382
0500000US06047,6047,"Merced County, California",2016,267971
0500000US06049,6049,"Modoc County, California",2016,8935
0500000US06051,6051,"Mono County, California",2016,14202
0500000US06053,6053,"Monterey County, California",2016,434767
0500000US06055,6055,"Napa County, California",2016,141185
0500000US06057,6057,"Nevada County, California",2016,98964
0500000US06059,6059,"Orange County, California",2016,3170707
0500000US06061,6061,"Placer County, California",2016,379288
0500000US06063,6063,"Plumas County, California",2016,18772
0500000US06065,6065,"Riverside County, California",2016,2382570
0500000US06067,6067,"Sacramento County, California",2016,1511510
0500000US06069,6069,"San Benito County, California",2016,59235
0500000US06071,6071,"San Bernardino County, California",2016,2134174
0500000US06073,6073,"San Diego County, California",2016,3310280
0500000US06075,6075,"San Francisco County, California",2016,872795
0500000US06077,6077,"San Joaquin County, California",2016,732185
0500000US06079,6079,"San Luis Obispo County, California",2016,281958
0500000US06081,6081,"San Mateo County, California",2016,768204
0500000US06083,6083,"Santa Barbara County, California",2016,444675
0500000US06085,6085,"Santa Clara County, California",2016,1929581
0500000US06087,6087,"Santa Cruz County, California",2016,274702
0500000US06089,6089,"Shasta County, California",2016,178581
0500000US06091,6091,"Sierra County, California",2016,2957
0500000US06093,6093,"Siskiyou County, California",2016,43479
0500000US06095,6095,"Solano County, California",2016,439300
0500000US06097,6097,"Sonoma County, California",2016,503249
0500000US06099,6099,"Stanislaus County, California",2016,539542
0500000US06101,6101,"Sutter County, California",2016,95898
0500000US06103,6103,"Tehama County, California",2016,63352
0500000US06105,6105,"Trinity County, California",2016,12830
0500000US06107,6107,"Tulare County, California",2016,460023
0500000US06109,6109,"Tuolumne County, California",2016,53704
0500000US06111,6111,"Ventura County, California",2016,848921
0500000US06113,6113,"Yolo County, California",2016,215530
0500000US06115,6115,"Yuba County, California",2016,75002
0500000US06001,6001,"Alameda County, California",2017,1658131
0500000US06003,6003,"Alpine County, California",2017,1121
0500000US06005,6005,"Amador County, California",2017,38551
0500000US06007,6007,"Butte County, California",2017,229207
0500000US06009,6009,"Calaveras County, California",2017,45642
0500000US06011,6011,"Colusa County, California",2017,21675
0500000US06013,6013,"Contra Costa County, California",2017,1144863
0500000US06015,6015,"Del Norte County, California",2017,27428
0500000US06017,6017,"El Dorado County, California",2017,188722
0500000US06019,6019,"Fresno County, California",2017,986542
0500000US06021,6021,"Glenn County, California",2017,27956
0500000US06023,6023,"Humboldt County, California",2017,136527
0500000US06025,6025,"Imperial County, California",2017,181574
0500000US06027,6027,"Inyo County, California",2017,17948
0500000US06029,6029,"Kern County, California",2017,888988
0500000US06031,6031,"Kings County, California",2017,149696
0500000US06033,6033,"Lake County, California",2017,64162
0500000US06035,6035,"Lassen County, California",2017,31123
0500000US06037,6037,"Los Angeles County, California",2017,10118759
0500000US06039,6039,"Madera County, California",2017,155904
0500000US06041,6041,"Marin County, California",2017,259725
0500000US06043,6043,"Mariposa County, California",2017,17437
0500000US06045,6045,"Mendocino County, California",2017,87697
0500000US06047,6047,"Merced County, California",2017,271340
0500000US06049,6049,"Modoc County, California",2017,8848
0500000US06051,6051,"Mono County, California",2017,14235
0500000US06053,6053,"Monterey County, California",2017,435477
0500000US06055,6055,"Napa County, California",2017,140386
0500000US06057,6057,"Nevada County, California",2017,99503
0500000US06059,6059,"Orange County, California",2017,3179950
0500000US06061,6061,"Placer County, California",2017,385565
0500000US06063,6063,"Plumas County, California",2017,18740
0500000US06065,6065,"Riverside County, California",2017,2417224
0500000US06067,6067,"Sacramento County, California",2017,1527718
0500000US06069,6069,"San Benito County, California",2017,60199
0500000US06071,6071,"San Bernardino County, California",2017,2153203
0500000US06073,6073,"San Diego County, California",2017,3325468
0500000US06075,6075,"San Francisco County, California",2017,879166
0500000US06077,6077,"San Joaquin County, California",2017,742516
0500000US06079,6079,"San Luis Obispo County, California",2017,282838
0500000US06081,6081,"San Mateo County, California",2017,768808
0500000US06083,6083,"Santa Barbara County, California",2017,445606
0500000US06085,6085,"Santa Clara County, California",2017,1933383
0500000US06087,6087,"Santa Cruz County, California",2017,275105
0500000US06089,6089,"Shasta County, California",2017,179539
0500000US06091,6091,"Sierra County, California",2017,3009
0500000US06093,6093,"Siskiyou County, California",2017,43784
0500000US06095,6095,"Solano County, California",2017,443877
0500000US06097,6097,"Sonoma County, California",2017,503246
0500000US06099,6099,"Stanislaus County, California",2017,545267
